Método,n,Media,Mediana,Moda,Desv. Estándar,Varianza,Mínimo,Máximo,Rango,Q1 (25%),Q3 (75%),Rango Intercuartílico (IQR),Coef. Variación,Asimetría (Skewness),Curtosis,Suma
Hibrida_por_texto,20,2371.4751719,2210.111618,1405.966759,692.8543406090116,480047.1373007482,1405.966759,3869.554996,2463.588237,2026.0785219999998,2504.45073825,478.3722162500003,29.21617518153919,1.0347881233862153,0.3936653086452786,47429.503438
Semantica,20,4623.776985899999,2626.8759965,1597.095966,4311.7083015362,18590828.477536183,1597.095966,18457.8526,16860.756633999998,2147.63027525,5229.7648785,3082.13460325,93.25078425461612,2.1132059838516795,4.721910773409947,92475.53971799999
BM25,20,7.972850335399999,2.0053386685,0.980615616,26.936647537487538,725.5829805588335,0.980615616,122.3797798,121.399164184,1.686155796,2.232372761,0.5462169650000002,337.8546743551298,4.467697835437679,19.972102754806173,159.45700670799997
RRF,20,3741.1132483,3031.7752364999997,1402.699947,2134.5998113524524,4556516.354625926,1402.699947,9855.326414,8452.626466999998,2205.893159,4279.4944642499995,2073.6013052499993,57.05787741984118,1.5483874218836218,2.397160471475967,74822.264966
Multi-stage,20,2739.2755482999996,2449.472666,1738.847733,1003.4917810222577,1006995.7545792228,1738.847733,5466.775417,3727.9276839999998,2129.5403834999997,2958.1328635,828.5924800000003,36.63347346144227,1.5736398493864474,2.1432718459917206,54785.510965999994
Imagenes,20,396.9715044249999,287.2849703,226.690144,339.4755320799453,115243.63688096196,226.690144,1530.201912,1303.511768,256.19304182499997,342.679262125,86.48622030000001,85.51634772164928,2.9227589086323515,7.81133000577201,7939.430088499998
Caption,20,73408.96675250001,44388.19623,24858.48951,64440.26007726017,4152547118.824931,19140.43689,207400.4743,188260.03741,24769.4368925,103907.677375,79138.2404825,87.78254609484148,1.1357966788187404,-0.014530372727265206,1468179.33505
Descripciones,20,113272.445598,101057.5279,13928.01077,120889.07403880893,14614168221.960627,13928.01077,547555.4242,533627.41343,26270.3319825,155823.7985,129553.4665175,106.72416702985304,2.5674476135569915,8.707822395187682,2265448.91196
Hibrida_por_imagenes,20,101974.460599,87967.05115,37486.2299,57393.90491768513,3294060321.7002816,37486.2299,213091.3808,175605.1509,52066.02293000001,140130.22225,88064.19931999999,56.28262663077814,0.5702486697373597,-1.0402442741040527,2039489.21198
